FY2021 UTILITY CONSUMPTION,,,,
,,,,
Sum of Usage,,,,
,E,G,O,S
697,,  246.0 ,"  1,599.8 ",
698,"  111,360.0 ","  11,337.0 ",,
700,"  11,312.0 ","  3,135.0 ",,
701,"  76,560.0 ","  6,235.0 ",,
702,"  22,023.0 ","  3,377.0 ",,
706,"  29,321.0 ","  1,836.0 ",,
707,"  41,960.0 ","  5,750.0 ",,
709,"  38,353.0 ","  3,917.0 ","  2,283.9 ",
710,"  17,739.0 ",  37.0 ,"  4,356.3 ",
711,"  35,034.0 ",  891.0 ,"  3,635.9 ",
712,"  76,480.0 ","  7,927.0 ","  2,362.3 ",
713,"  217,200.0 ","  6,718.0 ",,
714,"  2,624,800.0 ","  105,034.0 ",,
716,"  37,476.0 ","  2,016.0 ","  5,285.7 ",
718,"  9,700.0 ","  12,346.0 ",,
720,"  6,919.0 ","  1,814.0 ",,
721,"  22,720.0 ","  1,431.0 ",,
723,,"  28,805.0 ",,
724,"  64,473.0 ",,,
727,"  164,811.0 ","  12,811.0 ",,
730,"  10,498.0 ",  25.0 ,"  5,252.6 ",
731,"  4,052.0 ",,"  2,578.5 ",
732,"  4,305.0 ","  3,852.0 ",,
733,"  16,471.0 ","  3,400.0 ",,
734,"  52,501.0 ",  898.0 ,,
736,"  18,440.0 ",,"  2,682.9 ",
738,"  32,461.0 ",  454.0 ,,
739,"  14,550.0 ","  7,192.0 ",,
740,"  31,320.0 ","  9,676.0 ",,
741,"  16,661.0 ",,"  1,664.3 ",
742,"  89,440.0 ","  16,446.0 ",,
743,"  34,121.0 ","  13,974.0 ",,
744,"  59,469.0 ",,,
745,"  16,567.0 ",,"  1,902.5 ",
746,"  12,824.0 ","  5,560.0 ",,
747,"  17,147.0 ",,,
748,"  54,589.0 ","  10,575.0 ",,
750,"  66,696.0 ",  764.0 ,,
751,"  185,760.0 ","  47,921.0 ",,
753,"  22,675.0 ","  4,053.0 ",,
754,"  947,540.0 ","  116,521.0 ",,
756,"  255,621.0 ",,,
758,"  815,284.0 ","  73,991.0 ",,
761,"  8,754,481.0 ","  87,476.0 ",,
762,"  1,016,280.0 ","  85,515.0 ",,
763,"  65,000.0 ",  161.0 ,,
770,"  9,002.0 ",  12.0 ,"  2,313.6 ",
771,"  8,938.0 ",,"  1,791.7 ",
772,"  12,754.0 ",  11.0 ,"  2,252.0 ",
773,"  28,664.0 ","  8,517.0 ",,
774,"  12,931.0 ","  2,727.0 ",,
775,"  22,508.0 ",,"  3,671.8 ",
776,"  24,241.0 ","  3,572.0 ",,
777,"  24,373.0 ","  1,833.0 ",,
779,"  19,280.0 ","  2,299.0 ",,
780,"  152,802.0 ","  5,749.0 ",,
781,"  53,518.0 ",,,
782,"  41,299.0 ",,,
783,"  102,818.0 ","  32,608.0 ",,
784,"  21,520.0 ","  16,629.0 ",,
785,"  36,920.0 ",,"  10,921.9 ",
786,"  815,005.0 ","  30,901.0 ",,
787,"  16,040.0 ","  4,090.0 ",,
788,"  53,840.0 ","  12,357.0 ",,
790,"  64,440.0 ",  734.0 ,,
791,"  511,680.0 ","  39,198.0 ",,
792,  -   ,,  811.7 ,
795,"  12,835.0 ",,"  3,875.2 ",
796,"  12,829.0 ",,"  4,370.3 ",
797,"  5,640.0 ","  2,725.0 ",,
798,"  13,714.0 ","  4,459.0 ",,
799,"  41,440.0 ","  13,846.0 ",,
801,"  23,608.0 ","  4,299.0 ",,
802,"  14,298.0 ",,,
803,"  65,520.0 ","  18,373.0 ",,
804,"  23,960.0 ","  5,995.0 ",,
805,"  14,760.0 ",,"  1,980.7 ",
806,"  21,783.0 ","  3,762.0 ",,
807,"  17,954.0 ","  6,920.0 ",,
808,"  18,246.0 ","  5,419.0 ","  2,019.6 ",
809,"  14,668.0 ",,"  1,979.1 ",
810,"  25,700.0 ",,"  3,660.9 ",
811,"  41,281.0 ","  4,665.0 ",,
812,  344.0 ,  77.0 ,,
813,"  15,191.0 ",  16.0 ,,
816,"  7,363,681.0 ","  180,602.0 ",,
819,"  49,224.0 ","  13,520.0 ",,
820,"  3,639.0 ",  912.0 ,"  1,689.0 ",
821,"  127,960.0 ","  10,178.0 ",,
822,"  28,407.0 ",,"  4,884.4 ",
823,"  12,985.0 ",  229.0 ,"  1,089.3 ",
824,"  22,788.0 ",,,
825,,"  7,389.0 ",,
826,"  17,824.0 ","  6,168.0 ",,
827,"  621,144.0 ","  2,864.0 ",,
828,"  21,962.0 ",,"  2,252.7 ",
829,"  12,884.0 ",,"  2,644.1 ",
830,"  11,142.0 ",  739.0 ,,
831,"  28,526.0 ","  3,052.0 ",,
832,"  11,692.0 ",,  180.7 ,
833,"  14,305.0 ","  1,425.0 ",,
834,"  9,479.0 ","  1,873.0 ",,
835,"  15,291.0 ","  5,545.0 ",,
837,"  13,072.0 ",,"  2,569.2 ",
840,"  7,277.0 ",,"  5,885.3 ",
842,"  17,003.0 ","  15,977.0 ",,
843,"  6,353.0 ","  7,287.0 ",,
845,"  15,037.0 ","  5,139.0 ",,
