Site Code,Building Code,Building Description,Building Name,Building Type,Street 1 Number,Street 1 Address,Street 2 Number,Street 2 Address,City,Sq Ft,Number of Buildings,Height,Stories
FEN,971,180 - 200 RIVERWAY,WHEELOCK FAMILY THEATER & ACTIVITIES BUILDING,Academic,180 - 200,RIVERWAY,180-200,RIVERWAY,BOSTON,107182.5,1,44',SB + B + 3
FEN,972,210 RIVERWAY,PEABODY RESIDENCE HALL,Residential,210,RIVERWAY,,,BOSTON,58636.69,1,80',B + 5
FEN,973,162 RIVERWAY,RIVERWAY HOUSE RESIDENCE HALL,Residential,162,RIVERWAY,,,BOSTON,31106.45,1,44',B + 3
FEN,974,154 RIVERWAY,LONGWOOD HOUSE RESIDENCE HALL,Residential,154,RIVERWAY,,,BOSTON,17525.09,1,44',B + 3
FEN,975,150 RIVERWAY,CAMPUS CENTER & STUDENT RESIDENCE,Residential,150,RIVERWAY,,,BOSTON,58257.17,1,75',B + 6
CRC,985,63 BAY STATE ROAD,,Academic,63,BAY STATE ROAD,,,BOSTON,7718.71,1,50',B+4
CRC,991,908 BEACON STREET,,Residential,908,BEACON STREET,,,Boston,7483.57,1,48',B + 4
CRC,992,71 BAY STATE ROAD,,Residential,71,BAY STATE ROAD,,,Boston,9460.87,1,48',B+4
CRC,993,519 BEACON STREET,,Residential,519,BEACON STREET,,,Boston,6049.48,1,45',B+4
CRC,994,521 BEACON STREET,,Residential,521,BEACON STREET,,,Boston,6383.45,1,54',B+4
CRC,995,872 BEACON STREET,,Residential,872,BEACON STREET,,,Boston,6334.96,1,48',B+4
CRC,996,726 COMMONWEALTH AVENUE,,Residential,726,COMMONWEALTH AVENUE,,,Boston,28278.39,1,"51""",B+5
CRC,997,728 COMMONWEALTH AVENUE,,Residential,728,COMMONWEALTH AVENUE,,,Boston,29574.25,1,51',B+5
CRC,515A,83 BAY STATE ROAD,,Residential,83,BAY STATE ROAD,,,Boston,10175.32,1,45',5
CRC,586A,42 BUSWELL STREET,,Residential,42,BUSWELL STREET,,,Boston,17182.29,1,39',B+5
CRC,586B,44 BUSWELL STREET,,Residential,44,BUSWELL STREET,,,Boston,14771.96,1,60',B+5
CRC,586C,48 BUSWELL STREET,,Residential,48,BUSWELL STREET,,,Boston,16337.13,1,60',B+5
CRC,716A,483 COMMONWEALTH AVENUE,,Residential,483,COMMONWEALTH AVENUE,,,Boston,8942.93,1,55',B + 5
