Site Code,Building Code,Building Description,Building Name,Building Type,Street 1 Number,Street 1 Address,Street 2 Number,Street 2 Address,City,Sq Ft,Number of Buildings,Height,Stories
CRC,709,200-202 BAY STATE ROAD,TRUSTEE SCHOLARS HOUSE (Boyd House),Residential,200-202,BAY STATE ROAD,,,Boston,15281.53,1,46',B+4
CRC,710,65 BAY STATE ROAD,,Residential,65,BAY STATE ROAD,,,Boston,10264.29,1,55',B + 5
CRC,712,517 BEACON STREET,,Residential,517,BEACON STREET,,,Boston,9172.59,1,55',B+4
CRC,713,700 BEACON STREET,,Academic,700,BEACON STREET,,,Boston,37436.77,1,59',B+4
CRC,714,100 BAY STATE ROAD,YAWKEY CENTER FOR STUDENT SERVICES,Student Support,100,BAY STATE ROAD,,,Boston,123970.72,1,90',B + 6
CRC,716,481 COMMONWEALTH AVENUE,,Residential,481,COMMONWEALTH AVENUE,,,Boston,12050.46,1,"62',45'",B+4
CRC,718,59 BAY STATE ROAD,,Residential,59,BAY STATE ROAD,,,Boston,9622.17,1,55',B + 4
CRC,720,60 BAY STATE ROAD,,Residential,60,BAY STATE ROAD,,,Boston,6507.28,1,51',B + 4
CRC,721,84 BAY STATE ROAD,,Residential,84,BAY STATE ROAD,,,Boston,6571.31,1,45',B+4
CRC,723,285 BABCOCK STREET,CASE PHYSICAL EDUCATION CENTER,Athletic,285,BABCOCK STREET,,,Boston,144124.64,1,68',B+ M + 4
CRC,724,62 BAY STATE ROAD,,Residential,62,BAY STATE ROAD,,,Boston,6583.05,1,42',B + 4
CRC,730,77 BAY STATE ROAD,,Residential,77,BAY STATE ROAD,,,Boston,13271.71,1,60',B + 5
CRC,731,82 BAY STATE ROAD,,Residential,82,BAY STATE ROAD,,,Boston,6294.44,1,"58', 49'",B + 4
CRC,732,86 BAY STATE ROAD,,Residential,86,BAY STATE ROAD,,,Boston,6783.68,1,42',B + 4
CRC,733,94 BAY STATE ROAD,,Residential,94,BAY STATE ROAD,,,Boston,6833.35,1,47',B+4
CRC,734,110 BAY STATE ROAD,,Residential,110,BAY STATE ROAD,,,Boston,5133.96,1,50',B+4
CRC,736,171 BAY STATE ROAD,,Residential,171,BAY STATE ROAD,,,Boston,7184.56,1,40',B+4
CRC,738,131 BAY STATE ROAD,,Residential,131,BAY STATE ROAD,,,Boston,9286.69,1,48',B+4
CRC,739,1 BUSWELL STREET,ENGINEERING HOUSE,Residential,1,BUSWELL STREET,,,Boston,7608.81,1,49',B+4
CRC,740,2 BUSWELL STREET,,Residential,2,BUSWELL STREET,,,Boston,5457.92,1,45',B+4
CRC,741,5 BUSWELL STREET,,Residential,5,BUSWELL STREET,,,Boston,6320.32,1,48',B+4
CRC,742,6 BUSWELL STREET,,Residential,6,BUSWELL STREET,,,Boston,25818.23,1,46',B+4
CRC,743,22 BUSWELL STREET,,Residential,22,BUSWELL STREET,,,Boston,17662.74,1,48',B+4
CRC,744,34 BUSWELL STREET,,Residential,34,BUSWELL STREET,,,Boston,17446.85,1,55',B+5
CRC,745,35 BUSWELL STREET,,Residential,35,BUSWELL STREET,,,Boston,5016.57,1,39',B+3
CRC,746,37 BUSWELL STREET,,Residential,37,BUSWELL STREET,,,Boston,4812.38,1,55',B+3
CRC,747,39 BUSWELL STREET,,Residential,39,BUSWELL STREET,,,Boston,5039.72,1,39',B+3
CRC,748,50-52 BUSWELL STREET,,Residential,50-52,BUSWELL STREET,,,Boston,15305.33,2,48',B+4
CRC,751,512 BEACON STREET,DANIELSEN HALL,Residential,512,BEACON STREET,,,Boston,68814.59,1,103',B + 10
CRC,753,3 BUSWELL STREET,,Residential,3,BUSWELL STREET,,,Boston,5947.71,1,46',B+4
CRC,756,278 BABCOCK STREET,NEW BALANCE FIELD & LANGSAM GARAGE,Parking,278,BABCOCK STREET,,,Boston,104935.3,1,N/A,1
CRC,758,120 ASHFORD STREET,,Administrative,120,ASHFORD STREET,,,Boston,69877.46,1,30',M + 2
CRC,761,8 ST. MARY'S STREET,PHOTONICS RESEARCH CENTER,Research,8,ST. MARY'S STREET,22,BABBIT STREET,Boston,286718.38,1,"162'6""",B + 9  + P+PM
CRC,762,100 ASHFORD STREET,TRACK AND TENNIS CENTER,Athletic,100,ASHFORD STREET,,,Boston,100347.04,1,30',2
CRC,763,17 BUSWELL STREET,,Residential,17,BUSWELL STREET,,,Boston,6034.41,1,40',B+4
CRC,770,29 BUSWELL STREET,,Residential,29,BUSWELL STREET,,,Boston,4852.06,1,39',B+3
CRC,771,45 BUSWELL STREET,,Residential,45,BUSWELL STREET,,,Boston,5384.29,1,40',B+3
CRC,772,47 BUSWELL STREET,,Residential,47,BUSWELL STREET,,,Boston,5201.34,1,40',B+3
CRC,773,53-57 DEERFIELD STREET,,Residential,53-57,DEERFIELD STREET,,,Boston,9572.81,1,"46'6""",B+3+P
CRC,774,43 BUSWELL STREET,,Residential,43,BUSWELL STREET,,,Boston,4830.13,1,39',B+3
CRC,776,78 BAY STATE ROAD,,Residential,78,BAY STATE ROAD,,,Boston,5438.35,1,55',B + 4
CRC,777,80 BAY STATE ROAD,,Residential,80,BAY STATE ROAD,,,Boston,5274.25,1,45',B+4
CRC,779,7 BUSWELL STREET,EARTH HOUSE,Residential,7,BUSWELL STREET,,,Boston,6098.9,1,"55'6""",B+4
CRC,780,565 COMMONWEALTH AVENUE,KENMORE CLASSROOM BUILDING,Academic,565,COMMONWEALTH AVENUE,,,Boston,13306.37,1,"21' 4""",B + 2
CRC,781,852 BEACON STREET,,Residential,852,BEACON STREET,,,Boston,7380.37,1,50',B + 4
CRC,782,832 BEACON STREET,,Residential,832,BEACON STREET,,,Boston,5894.97,1,50',B + 4
CRC,783,856-862 BEACON STREET,,Residential,856-862,BEACON STREET,,,Boston,39732.93,4,"67',79'",B + 6
CRC,784,96 MOUNTFORT STREET,,Residential,96,MOUNTFORT STREET,,,Boston,9081.95,1,45',B + 4
CRC,785,806-820 BEACON STREET,,Residential,806-820,BEACON STREET,,,Boston,19328.25,1,60',B+7
CRC,786,575 COMMONWEALTH AVENUE,,Residential,575,COMMONWEALTH AVENUE,,,Boston,139367.77,1,60',B + 8
CRC,787,33 BUSWELL STREET,,Residential,33,BUSWELL STREET,,,Boston,5040.6,1,40',B+3
CRC,788,844 BEACON STREET,,Residential,844,BEACON STREET,,,Boston,20857.52,1,40',B + 5
CRC,790,75 BAY STATE ROAD,,Residential,75,BAY STATE ROAD,,,Boston,10245.35,1,56',B+4+R
CRC,791,300 BABCOCK STREET,,Athletic,300,BABCOCK STREET,,,Boston,92808.34,1,42',B + 3
CRC,795,845 BEACON STREET,,Residential,845,BEACON STREET,,,Boston,6555.44,1,45',B + 4
CRC,796,848 BEACON STREET,,Residential,848,BEACON STREET,,,Boston,7085.29,1,50',B + 4
CRC,797,822 BEACON STREET,,Residential,822,BEACON STREET,,,Boston,6474.5,1,40',B + 3
CRC,798,864 BEACON STREET,,Residential,864,BEACON STREET,,,Boston,6553.5,1,55',B + 4
